Rk,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
2,2024-12-29,26-170,OKC,,MEM,W 130-106,*,28,14,19,.737,13,14,.929,1,5,.200,6,6,1.000,.809,0,6,6,7,1,4,1,1,35,36.4,28.6
3,2024-03-16,25-248,OKC,@,MEM,W 118-112,*,35,8,16,.500,7,12,.583,1,4,.250,3,6,.500,.536,1,6,7,3,0,1,3,2,20,12.3,-5.9
4,2024-03-10,25-242,OKC,,MEM,W 124-93,*,27,8,14,.571,3,7,.429,5,7,.714,2,2,1.000,.773,0,2,2,6,0,0,1,2,23,19.4,9.3
5,2023-12-18,25-159,OKC,,MEM,W 116-97,*,28,8,18,.444,7,15,.467,1,3,.333,13,14,.929,.621,0,9,9,5,4,0,2,4,30,26.8,13.3
6,2022-12-07,24-148,OKC,@,MEM,L 102-123,*,34,4,14,.286,3,10,.300,1,4,.250,17,19,.895,.581,0,3,3,7,0,1,5,0,26,18.5,2.3
7,2022-11-18,24-129,OKC,@,MEM,L 110-121,*,34,6,18,.333,4,14,.286,2,4,.500,1,1,1.000,.407,1,5,6,6,0,1,2,4,15,8.3,-7.2
8,2022-03-13,23-244,OKC,,MEM,L 118-125,*,38,9,20,.450,8,15,.533,1,5,.200,12,12,1.000,.613,0,6,6,7,2,3,1,5,31,28.4,10.9
9,2021-12-20,23-161,OKC,@,MEM,W 102-99,*,37,8,19,.421,8,14,.571,0,5,.000,7,8,.875,.511,1,4,5,4,3,0,1,0,23,19.2,4.6
10,2021-03-14,22-245,OKC,,MEM,W 128-122,*,34,8,17,.471,4,11,.364,4,6,.667,10,11,.909,.687,1,3,4,5,0,0,5,3,30,19.8,-2.6
11,2021-02-17,22-220,OKC,@,MEM,L 113-122,*,33,6,14,.429,4,9,.444,2,5,.400,8,8,1.000,.628,1,2,3,6,0,0,1,2,22,18.3,2.1
12,2020-08-07,22-026,OKC,@,MEM,L 92-121,*,34,3,13,.231,2,5,.400,1,8,.125,3,4,.750,.339,0,3,3,3,1,0,3,0,10,2.7,-11.5
13,2019-12-26,21-167,OKC,,MEM,L 97-110,*,37,8,19,.421,7,13,.538,1,6,.167,4,4,1.000,.506,0,3,3,1,3,0,1,0,21,14.5,-0.1
14,2019-12-18,21-159,OKC,,MEM,W 126-122,*,39,7,16,.438,7,13,.538,0,3,.000,6,6,1.000,.536,2,7,9,1,2,2,1,1,20,17.8,-0.1
15,2019-03-31,20-262,LAC,,MEM,W 113-96,*,28,2,6,.333,2,6,.333,0,0,,2,2,1.000,.436,1,3,4,3,4,2,2,3,6,8.5,4.4
16,2019-02-22,20-225,LAC,@,MEM,W 112-106,*,15,1,4,.250,1,4,.250,0,0,,4,4,1.000,.521,0,2,2,4,1,0,3,2,6,4.2,-1.4
17,2018-12-05,20-146,LAC,@,MEM,L 86-96,*,29,4,9,.444,3,8,.375,1,1,1.000,3,4,.750,.558,1,3,4,4,3,1,1,1,12,13.6,12.1
18,2018-11-23,20-134,LAC,,MEM,W 112-107 (OT),*,29,4,14,.286,4,12,.333,0,2,.000,0,0,,.286,1,1,2,5,1,0,1,1,8,3.9,-6.5